Feature,Old_Baseline,Current_Behaviour,Updated_Profile
department,0.4710631538401229,0.47554423473080554,0.47195937001825944
role,0.4689938318738219,0.5030754133956906,0.47581014817819567
office_location,0.5062230069913384,0.46339290685373863,0.4976569869638185
device,0.725208189171777,0.7337703914035967,0.726920629618141
network_type,0.11184650075162852,0.11115054841044485,0.11170731028339179
authentication,0.5617250073572105,0.5594621680307331,0.5612724394919151
event_type,0.3865900920247839,0.3830568082697696,0.38588343527378105
application,0.5567289394879381,0.5546065955403374,0.556304470698418
resource,0.4177978151796425,0.40868092989355725,0.41597443812242546
risk_baseline,0.5362034407883748,0.5186236846500751,0.5326874895607149
access_level,0.6815451335035434,0.7129126997383219,0.6878186467504992
country,0.4285731329445091,0.42856745170090754,0.4285719966957888
city,0.00026247345438927197,0.0002783809364734703,0.0002656549508061117
hour,0.5966114988271689,0.5990709338833172,0.5971033858383986
minute,0.4996604831048386,0.4997688022730983,0.4996821469384906
second,0.49906203149600575,0.4982799360950609,0.4989056124158168
day,0.4999580371593295,0.49997600164340755,0.4999616300561452
weekday,0.3552309766398626,0.3550841638364605,0.35520161407918216
month,0.8186606695459209,0.8192055008073047,0.8187696357981976
quarter,0.8186606695459209,0.8192055008073047,0.8187696357981976
is_weekend,5.965305781574364e-06,0.0,4.772244625259491e-06
business_hours,0.8760886683051373,0.8769277879850788,0.8762564922411257
time_since_last_event,0.02243846797713241,0.02218282072788746,0.02238733852728342
event_number,0.2881640379552522,0.2912225063135368,0.2887757316269091
session_duration,0.006027355516624377,0.006230246551930327,0.006067933723685567
events_per_session,0.5279232554889335,0.5346898438680633,0.5292765731647595
login,0.046093917774225106,0.045557040253883414,0.04598654227015677
login_failed,0.0011274427927175548,0.0007098713880073493,0.0010439285117755136
vpn_login,0.055369968264573244,0.04956572573910139,0.05420911975947888
download,0.02515569448089909,0.02957797450030622,0.02604015048478052
upload,0.039233816125414586,0.04843828294638383,0.04107470948960844
database_query,0.08211243408337111,0.08458604754746395,0.08260715677618968
file_access,0.2046457801426901,0.20788096431156394,0.2052928169764649
admin_action,0.04782385645088167,0.035730193196369914,0.04540512379997932
powershell_execution,0.02705266171943974,0.012735927843661267,0.024189314944284047
login_count,0.0,0.0,0.0
login_failed_count,0.0038095934047579277,0.0024584516452313345,0.0035393650528526095
vpn_login_count,0.10757136494150026,0.09905605664124119,0.10586830328144846
download_count,0.044218976280108735,0.05163966371582874,0.04570311376725274
upload_count,0.0682022587400907,0.08516101125087262,0.07159400924224708
database_query_count,0.12350121692237945,0.12698433411279997,0.12419784036046357
file_access_count,0.26997151235083416,0.27662172361103377,0.2713015546028741
admin_action_count,0.08360100731071167,0.06294942460801822,0.07947069077017299
powershell_execution_count,0.043889311194663265,0.02118081239511004,0.03934761143475263
is_privileged_user,0.3266541792932306,0.2624436278603641,0.3138120690066573
is_admin,0.4474814478990193,0.41329825733533765,0.440644809786283
remote_access,0.16599059867808824,0.17217860920884137,0.16722820078423886
high_risk_event,0.1581163950464101,0.13376203997550248,0.15324552403222857
foreign_login,0.0002266816196998258,0.00025054284282612327,0.0002314538643250853
